Protein,Gene,Species,Life_stage,Sample,Expression,Orthogroup_4sp
CARP1,aten_0.1.m1.37046.m1,Acropora_tenuis,Larvae,Larva_1,336,OG0006101
CARP1,aten_0.1.m1.37046.m1,Acropora_tenuis,Larvae,Larva_2,314,OG0006101
CARP1,aten_0.1.m1.37046.m1,Acropora_tenuis,Larvae,Larva_3,400,OG0006101
CARP1,aten_0.1.m1.37046.m1,Acropora_tenuis,Metamorphosed,Meta_1,234,OG0006101
CARP1,aten_0.1.m1.37046.m1,Acropora_tenuis,Metamorphosed,Meta_2,317,OG0006101
CARP1,aten_0.1.m1.37046.m1,Acropora_tenuis,Metamorphosed,Meta_3,210,OG0006101
CARP1,aten_0.1.m1.37046.m1,Acropora_tenuis,Spat,Spat_1,215,OG0006101
CARP1,aten_0.1.m1.37046.m1,Acropora_tenuis,Spat,Spat_2,240,OG0006101
CARP1,aten_0.1.m1.37046.m1,Acropora_tenuis,Spat,Spat_3,203,OG0006101
CARP1,Montipora_capitata_HIv3___RNAseq.g8713.t1,Montipora_capitata,Larvae,Larva_1,1072,OG0006101
CARP1,Montipora_capitata_HIv3___RNAseq.g8713.t1,Montipora_capitata,Larvae,Larva_2,1265,OG0006101
CARP1,Montipora_capitata_HIv3___RNAseq.g8713.t1,Montipora_capitata,Larvae,Larva_3,1255,OG0006101
CARP1,Montipora_capitata_HIv3___RNAseq.g8713.t1,Montipora_capitata,Metamorphosed,Meta_1,1315,OG0006101
CARP1,Montipora_capitata_HIv3___RNAseq.g8713.t1,Montipora_capitata,Metamorphosed,Meta_2,1313,OG0006101
CARP1,Montipora_capitata_HIv3___RNAseq.g8713.t1,Montipora_capitata,Metamorphosed,Meta_3,1201,OG0006101
CARP1,Montipora_capitata_HIv3___RNAseq.g8713.t1,Montipora_capitata,Spat,Spat_1,837,OG0006101
CARP1,Montipora_capitata_HIv3___RNAseq.g8713.t1,Montipora_capitata,Spat,Spat_2,968,OG0006101
CARP1,Montipora_capitata_HIv3___RNAseq.g8713.t1,Montipora_capitata,Spat,Spat_3,882,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Larvae,Larva_1,403,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Larvae,Larva_2,1392,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Larvae,Larva_3,440,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Metamorphosed,Meta_1,17,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Metamorphosed,Meta_2,53,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Metamorphosed,Meta_3,17,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Spat,Spat_1,557,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Spat,Spat_2,433,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Spat,Spat_3,1039,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Larvae,Larva_1,0,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Larvae,Larva_2,0,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Larvae,Larva_3,0,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Metamorphosed,Meta_1,0,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Metamorphosed,Meta_2,11,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Metamorphosed,Meta_3,12,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Spat,Spat_1,23,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Spat,Spat_2,49,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Spat,Spat_3,28,OG0006101
