sampleID,timepoint,Species,new_names
DRR318288,I,Acropora_tenuis,Larva1_Atenuis
DRR318289,I,Acropora_tenuis,Larva2_Atenuis
DRR318291,I,Acropora_tenuis,Larva3_Atenuis
DRR318293,II,Acropora_tenuis,Meta1_Atenuis
DRR318294,II,Acropora_tenuis,Meta2_Atenuis
DRR318295,II,Acropora_tenuis,Meta3_Atenuis
DRR318297,III,Acropora_tenuis,Spat1_Atenuis
DRR318298,III,Acropora_tenuis,Spat2_Atenuis
DRR318299,III,Acropora_tenuis,Spat3_Atenuis
AH1,I,Montipora_capitata,Larva1_Mcap
AH2,I,Montipora_capitata,Larva2_Mcap
AH3,I,Montipora_capitata,Larva3_Mcap
AH4,II,Montipora_capitata,Meta1_Mcap
AH5,II,Montipora_capitata,Meta2_Mcap
AH6,II,Montipora_capitata,Meta3_Mcap
AH7,III,Montipora_capitata,Spat1_Mcap
AH8,III,Montipora_capitata,Spat2_Mcap
AH9,III,Montipora_capitata,Spat3_Mcap
SRR3051863,I,Pocillopora_acuta,Larva1_Pacu
SRR3051864,I,Pocillopora_acuta,Larva2_Pacu
SRR3051865,I,Pocillopora_acuta,Larva3_Pacu
SRR3051866,II,Pocillopora_acuta,Meta1_Pacu
SRR3051867,II,Pocillopora_acuta,Meta2_Pacu
SRR3051868,II,Pocillopora_acuta,Meta3_Pacu
SRR3051869,III,Pocillopora_acuta,Spat1_Pacu
SRR3051870,III,Pocillopora_acuta,Spat2_Pacu
SRR3051871,III,Pocillopora_acuta,Spat3_Pacu
SRR14333325,I,Stylophora_pistillata,Larva1_Spis
SRR14333326,I,Stylophora_pistillata,Larva2_Spis
SRR14333327,I,Stylophora_pistillata,Larva3_Spis
SRR14333322,II,Stylophora_pistillata,Meta1_Spis
SRR14333323,II,Stylophora_pistillata,Meta2_Spis
SRR14333324,II,Stylophora_pistillata,Meta3_Spis
SRR14333319,III,Stylophora_pistillata,Spat1_Spis
SRR14333320,III,Stylophora_pistillata,Spat2_Spis
SRR14333321,III,Stylophora_pistillata,Spat3_Spis
